Order_Date,Order_Priority,Ord_id
13-10-2010,LOW,Ord_1
01-10-2012,HIGH,Ord_2
10-07-2011,HIGH,Ord_3
28-08-2010,NOT SPECIFIED,Ord_4
17-06-2011,HIGH,Ord_5
24-03-2011,HIGH,Ord_6
26-02-2010,LOW,Ord_7
23-11-2010,MEDIUM,Ord_8
08-06-2012,NOT SPECIFIED,Ord_9
04-08-2012,NOT SPECIFIED,Ord_10
30-05-2011,MEDIUM,Ord_11
25-11-2009,NOT SPECIFIED,Ord_12
14-02-2012,CRITICAL,Ord_13
15-04-2012,LOW,Ord_14
12-03-2010,NOT SPECIFIED,Ord_15
09-03-2011,LOW,Ord_16
04-08-2012,HIGH,Ord_17
06-05-2011,HIGH,Ord_18
23-12-2010,HIGH,Ord_19
08-11-2010,LOW,Ord_20
21-10-2012,NOT SPECIFIED,Ord_21
01-01-2011,NOT SPECIFIED,Ord_22
10-10-2011,HIGH,Ord_23
23-09-2010,LOW,Ord_24
19-07-2011,CRITICAL,Ord_25
09-10-2009,HIGH,Ord_26
09-12-2010,NOT SPECIFIED,Ord_27
08-10-2012,CRITICAL,Ord_28
02-05-2012,HIGH,Ord_29
08-03-2010,MEDIUM,Ord_30
28-05-2011,NOT SPECIFIED,Ord_31
19-09-2010,MEDIUM,Ord_32
31-08-2011,HIGH,Ord_33
08-07-2011,NOT SPECIFIED,Ord_34
30-01-2009,CRITICAL,Ord_35
08-01-2012,LOW,Ord_36
07-11-2010,CRITICAL,Ord_37
29-04-2010,NOT SPECIFIED,Ord_38
31-12-2011,NOT SPECIFIED,Ord_39
12-08-2009,HIGH,Ord_40
12-11-2011,LOW,Ord_41
20-01-2012,HIGH,Ord_42
20-03-2009,MEDIUM,Ord_43
21-07-2012,LOW,Ord_44
12-06-2012,CRITICAL,Ord_45
15-01-2009,LOW,Ord_46
04-06-2010,LOW,Ord_47
18-02-2010,NOT SPECIFIED,Ord_48
16-11-2011,NOT SPECIFIED,Ord_49
07-08-2011,LOW,Ord_50
08-06-2010,MEDIUM,Ord_51
17-10-2009,MEDIUM,Ord_52
28-08-2011,HIGH,Ord_53
29-09-2011,CRITICAL,Ord_54
04-05-2012,LOW,Ord_55
17-05-2011,HIGH,Ord_56
17-11-2009,MEDIUM,Ord_57
10-10-2011,NOT SPECIFIED,Ord_58
07-10-2012,NOT SPECIFIED,Ord_59
13-08-2011,MEDIUM,Ord_60
16-08-2011,HIGH,Ord_61
04-03-2009,LOW,Ord_62
18-08-2009,CRITICAL,Ord_63
16-11-2010,NOT SPECIFIED,Ord_64
27-05-2011,LOW,Ord_65
23-08-2010,NOT SPECIFIED,Ord_66
19-08-2011,NOT SPECIFIED,Ord_67
03-01-2012,MEDIUM,Ord_68
29-11-2012,HIGH,Ord_69
17-03-2012,MEDIUM,Ord_70
12-04-2010,LOW,Ord_71
24-08-2010,HIGH,Ord_72
04-07-2011,HIGH,Ord_73
10-11-2010,CRITICAL,Ord_74
24-06-2010,CRITICAL,Ord_75
19-09-2012,MEDIUM,Ord_76
24-12-2011,LOW,Ord_77
23-03-2012,MEDIUM,Ord_78
15-10-2011,CRITICAL,Ord_79
07-08-2010,CRITICAL,Ord_80
03-03-2009,LOW,Ord_81
09-02-2010,LOW,Ord_82
17-01-2009,CRITICAL,Ord_83
30-08-2010,CRITICAL,Ord_84
11-09-2009,HIGH,Ord_85
16-07-2009,NOT SPECIFIED,Ord_86
15-11-2012,LOW,Ord_87
10-09-2011,LOW,Ord_88
10-04-2011,NOT SPECIFIED,Ord_89
09-10-2011,HIGH,Ord_90
23-10-2012,CRITICAL,Ord_91
08-01-2012,LOW,Ord_92
25-01-2010,NOT SPECIFIED,Ord_93
27-01-2011,NOT SPECIFIED,Ord_94
27-08-2009,HIGH,Ord_95
17-03-2011,CRITICAL,Ord_96
06-06-2012,CRITICAL,Ord_97
11-04-2011,HIGH,Ord_98
06-11-2012,LOW,Ord_99
16-05-2012,HIGH,Ord_100
09-04-2012,NOT SPECIFIED,Ord_101
05-08-2012,MEDIUM,Ord_102
22-07-2009,NOT SPECIFIED,Ord_103
09-05-2010,NOT SPECIFIED,Ord_104
18-02-2009,NOT SPECIFIED,Ord_105
27-06-2012,HIGH,Ord_106
30-09-2010,MEDIUM,Ord_107
